year,region,latitude,longitude,avg_temp_c,max_temp_c,precipitation_mm,source_name,source_url,collected_at
2015,서울,37.5665,126.9780,13.60,18.70,792.1,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2015,부산,35.1796,129.0756,15.40,19.50,1396.7,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2015,대구,35.8714,128.6014,14.60,20.60,847.6,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2016,서울,37.5665,126.9780,13.60,18.80,991.7,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2016,부산,35.1796,129.0756,15.70,19.90,1760.2,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2016,대구,35.8714,128.6014,14.90,20.90,1110.7,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2017,서울,37.5665,126.9780,13.00,18.10,1233.2,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2017,부산,35.1796,129.0756,15.20,19.50,1014.4,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2017,대구,35.8714,128.6014,14.50,20.70,663.8,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2018,서울,37.5665,126.9780,12.90,18.10,1284.1,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2018,부산,35.1796,129.0756,15.10,19.40,1778.6,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2018,대구,35.8714,128.6014,14.30,20.40,1112.5,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2019,서울,37.5665,126.9780,13.50,18.50,891.3,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2019,부산,35.1796,129.0756,15.70,20.00,1623.2,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2019,대구,35.8714,128.6014,14.80,20.80,967.1,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2020,서울,37.5665,126.9780,13.20,18.20,1651.1,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2020,부산,35.1796,129.0756,15.40,19.60,2281.6,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2020,대구,35.8714,128.6014,14.50,20.30,1318.7,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2021,서울,37.5665,126.9780,13.70,18.80,1186.5,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2021,부산,35.1796,129.0756,15.80,20.10,1807.8,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2021,대구,35.8714,128.6014,15.10,21.00,1102.1,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2022,서울,37.5665,126.9780,13.20,18.10,1779.3,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2022,부산,35.1796,129.0756,15.60,20.10,1146.0,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2022,대구,35.8714,128.6014,14.90,20.90,692.8,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2023,서울,37.5665,126.9780,14.10,19.20,1745.9,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2023,부산,35.1796,129.0756,16.20,20.60,1989.5,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2023,대구,35.8714,128.6014,15.50,21.60,1218.3,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2024,서울,37.5665,126.9780,14.32,19.44,1683.1,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2024,부산,35.1796,129.0756,16.05,20.48,2050.4,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
2024,대구,35.8714,128.6014,15.32,21.41,1184.9,기상청 기상자료개방포털,https://data.kma.go.kr,2026-08-24T02:00:00+09:00
